ID,Limit
chset_z016_def0,44
chset_z016_def2,44
chset_z016_defh,44
chset_z016_def5,44
chset_z016_def7,44
chset_z016_defe,44
chset_z016_def8,44
chset_z016_def9,44
chset_z017_def1,32
chset_z017_def2,44
chset_z017_def3,16
chset_z017_def4,20
chset_z002def_0,44
chset_z002def_1,20
chset_z002def_2,44
chset_z002def_3,24
chset_z002def_5,44
chset_z002def_6,24
chset_z002chpt,44
chset_z004_def0,44
chset_z004_def1,32
chset_z004_def4,44
chset_z004_def5,44
chset_z004_def6,44
chset_z004_def7,44
chset_z015_140,44
chset_z015_160,44
chset_z015_200,32
chset_z015_300,32
chset_z015_400,44
chset_z015_500,32
chset_z015_700,32
chset_z010_def,32
chset_z010_def2,32
chset_z008_def,44
chset_z008_c012,44
chset_z008_c014,44
chset_z008_c020,44
chset_z008_c030,24
chset_z008_c060,44
chset_z008_c075,32
chset_z008_c100,44
chset_z008_c130,44
chset_z008_c150,44
chset_z008_c192,44
chset_z006_tok,20
chset_z006_tok2,20
chset_z003_e070,20
chset_z003_e080,20
chset_z003_e090,24
chset_z003_e120,20
chset_z003_e150,24
chset_z003_e170,20
chset_z003_f220,24
chset_z018_020,24
chset_z018_030,16
chset_z018_040,20
chset_z018_045,20
chset_z018_080,24
chset_z018_090,20
chset_z018_100,20
chset_z019_f2,24
chset_z019_f3,24
chset_z019_f4,24
chset_z019_f4_1,24
chset_z019_f5,24
chset_z019_f6,24
chset_z019_f6_1,24
chset_z019_f6_2,24
chset_z019_f7,24
chset_z019_f7_1,24
chset_z019_f8_1,24
chset_z019_f8_2,24
chset_z019_f9_1,24
chset_z029_ev1,24
chset_z029_def,24
chset_z029_def1,24
chset_z029_def2,20
chset_z029_def3,24
chset_z021_ev2,24
chset_z021_def2,24
chset_z023_de6b,48
chset_z023_def6,48
chset_z023_de1b,48
chset_z023_def1,48
chset_z023_de8b,48
chset_z023_def8,48
chset_z022_def1,24
chset_z022_a021,24
chset_z022_def8,24
chset_z022_def3,24
chset_z022_def4,24
chset_z022_def5,24
chset_z024_def1,24
chset_z026_o,24
chset_z026_2f,24
chset_z026_3f,24
chset_z026_4f,24
chset_z026_5f,24
chset_z026_k,24
chset_z027_def3,24
chset_z020_def1,24
chset_z020_def2,24
chset_z020_def3,24
chset_z020_def4,24
chset_z020_def5,24
chset_z023_def4,48
chset_z023_a031,48
chset_z023_def2,48
chset_z023_def3,48
chset_z022_def2,24
chset_z022_def7,24
chset_z022_def6,24
chset_z030_b2,48
chset_z030_b4,48
chset_z030_b5b,48
chset_z030_b8,48
chset_z030_b9f,48
chset_z030_b7,48
chset_z030_b9c,48
chset_z030_b9a,48
chset_z030_b6a,48
chset_z030_b5c,48
chset_z030_b9d,48
chset_z030_b9b,48
chset_z030_b3,48
chset_z030_b5a,48
chset_z030_b6b,48
chset_z030_b9e,48
chset_z030_b9g,48
chset_z023_a018,48
chset_z020_def6,24
chset_z020_def7,24